configuration,dataset,metric,n_seeds,mean,std,n_pairs,mean_full_minus_ablated,paired_std,full_win_rate,ties,paired_ci95_low,paired_ci95_high,paired_differences
w/o RDTG,COLLAB,ACC,3,73.42666666666668,0.6034346139668556,3,-0.6000000000000133,0.6791170738539793,0.3333333333333333,0,-2.2870203338542177,1.0870203338541908,"[-0.9200000000000017, 0.1799999999999784, -1.0600000000000165]"
w/o RDTG,COLLAB,NMI,3,29.214553633904416,0.764570651949547,3,-1.294786379854686,0.582504427496989,0.0,0,-2.741807595461492,0.1522348357521206,"[-1.8162726296004088, -0.6661431645385072, -1.401943345425142]"
w/o RDTG,COLLAB,ARI,3,33.81907369371448,0.9561740807454882,3,-0.9176737951038163,1.417445931612168,0.3333333333333333,0,-4.438804688188682,2.603457097981049,"[-1.4703982582752033, 0.6928641070376003, -1.9754872340738459]"
w/o RDTG,COLLAB,Macro-F1,3,70.6014818897015,0.8747568235711332,3,-0.4115590776899059,0.5034382284758141,0.3333333333333333,0,-1.6621689665834545,0.8390508112036428,"[-0.9705791861751862, 0.0060539766023168795, -0.2701520234968484]"
w/o RDTG,MUTAG,ACC,3,86.4959696538644,1.2401122424983468,3,-0.7064959696538627,1.5481034752630218,0.3333333333333333,0,-4.552198194246479,3.139206254938754,"[-1.5931721194879174, -1.6073968705547657, 1.081081081081095]"
w/o RDTG,MUTAG,NMI,3,44.498837928001535,2.0660165744992818,3,-1.073718792577104,2.8237435659595245,0.3333333333333333,0,-8.088286673089515,5.940849087935307,"[-1.2465446970537997, -3.8070799680578844, 1.8324682873803724]"
w/o RDTG,MUTAG,ARI,3,52.57061226413848,3.2814756405498327,3,-1.9630545574370235,4.008782431148174,0.3333333333333333,0,-11.921422172854374,7.995313057980327,"[-4.1043299289895785, -4.446504858426003, 2.661671115104511]"
w/o RDTG,MUTAG,Macro-F1,3,84.84142133228546,1.1320507720745803,3,-0.5844564470333893,1.3514467352269488,0.3333333333333333,0,-3.9416362474325157,2.772723353365737,"[-1.4301005330282095, -1.2974481378946905, 0.9741793298227321]"
w/o RDTG,PTC_MR,ACC,3,57.753501400560225,1.7521831255154114,3,0.2885154061624604,1.916488454107483,0.3333333333333333,0,-4.47230583682003,5.0493366491449505,"[-1.4621848739495817, 2.3361344537815043, -0.008403361344541338]"
w/o RDTG,PTC_MR,NMI,3,1.963226630978685,0.8445046541063758,3,0.20399415308676283,0.994136281481066,0.6666666666666666,0,-2.265577274359595,2.67356558053312,"[-0.9423356148119797, 0.8296280143361789, 0.7246900597360892]"
w/o RDTG,PTC_MR,ARI,3,1.7192705684138652,1.2388217902977174,3,0.3660354274478495,1.4122516141231918,0.6666666666666666,0,-3.142192065675846,3.8742629205715455,"[-1.2644529033349414, 1.2054761624188661, 1.1570830232596239]"
w/o RDTG,PTC_MR,Macro-F1,3,56.47107179538975,1.7548855341451588,3,0.34065831685695497,1.9921705225031516,0.6666666666666666,0,-4.6081676063304835,5.289484240044394,"[-1.5083767552675909, 2.45031102127367, 0.08004068456478564]"
w/o LTCP,NCI1,ACC,3,75.27986506829023,0.3508400561250997,3,-0.4867070559689968,0.7078635520486777,0.3333333333333333,0,-2.2451376003866597,1.2717234884486661,"[-1.289420610515137, 0.04810016277916418, -0.21880072017101782]"
w/o LTCP,NCI1,NMI,3,19.514841590125304,0.5843577462921149,3,-0.7670205317899423,1.0392844355608524,0.3333333333333333,0,-3.3487461914018115,1.8147051278219268,"[-1.9404322303349453, 0.03749458562176855, -0.3981239506566503]"
w/o LTCP,NCI1,ARI,3,25.52982221637014,0.686976094554531,3,-0.9600570828928513,1.3780719121107472,0.3333333333333333,0,-4.383377489271045,2.4632633234853425,"[-2.5196294739402596, 0.09337608001871445, -0.45391785475700885]"
w/o LTCP,NCI1,Macro-F1,3,75.2561339587756,0.34494884003958814,3,-0.48784797820115483,0.7193700958692466,0.3333333333333333,0,-2.2748623620554005,1.299166405653091,"[-1.3036605048939691, 0.055449480572590915, -0.21533291028208623]"
w/o LTCP,Mutagenicity,ACC,3,76.7802770378216,0.14357968671350002,3,0.09205983889529061,0.288209204966922,0.6666666666666666,0,-0.6238915160366209,0.808011193827202,"[0.18459749702358863, -0.231052144678344, 0.3226341643406272]"
w/o LTCP,Mutagenicity,NMI,3,21.48488111745174,0.3266960679761645,3,0.14767738773085526,0.4501806746017715,0.6666666666666666,0,-0.9706334031486095,1.26598817861032,"[0.18869012292911336, -0.32160632605296513, 0.5759483663164175]"
w/o LTCP,Mutagenicity,ARI,3,28.656879267912647,0.36309126588874774,3,0.22125499340510166,0.5803837929671777,0.6666666666666666,0,-1.2204982739933605,1.6630082608035637,"[0.35567416943997543, -0.4145440431378482, 0.7226348539131777]"
w/o LTCP,Mutagenicity,Macro-F1,3,76.42752072717269,0.13910143030341504,3,0.08789787178053625,0.29218896937825556,0.6666666666666666,0,-0.6379397660094509,0.8137355095705233,"[0.16596431555551305, -0.23539511967270244, 0.3331244194587981]"
w/o LTCP,COLLAB,ACC,3,73.11999999999999,0.5102940328869314,3,-0.29333333333333184,1.1524466726635765,0.6666666666666666,0,-3.15616957367811,2.569502907011447,"[0.46000000000002217, 0.2799999999999869, -1.6200000000000045]"
w/o LTCP,COLLAB,NMI,3,28.90301245125097,0.7461807223983596,3,-0.9832451972012363,1.063357926728373,0.0,0,-3.6247727240758323,1.6582823296733595,"[-0.5042006373243773, -0.24367743399993813, -2.2018575202793933]"
w/o LTCP,COLLAB,ARI,3,33.327741485231705,0.8221133202189018,3,-0.42634158662104465,2.0657689207258785,0.6666666666666666,0,-5.557996066357977,4.705312893115887,"[0.7113336791705649, 0.8204948911212497, -2.8108533301549485]"
