configuration,dataset,seed,metric,full,ablated,full_minus_ablated,full_win,tie
w/o RDTG,COLLAB,1,Macro-F1,70.32393443027505,70.31788045367273,0.0060539766023168795,1,0
w/o RDTG,COLLAB,2,Macro-F1,69.63356095071859,69.90371297421544,-0.2701520234968484,0,0
w/o RDTG,MUTAG,0,ACC,85.61877667140826,87.21194879089617,-1.5931721194879174,0,0
w/o RDTG,MUTAG,1,ACC,85.60455192034141,87.21194879089617,-1.6073968705547657,0,0
w/o RDTG,MUTAG,2,ACC,86.14509246088195,85.06401137980086,1.081081081081095,1,0
w/o RDTG,MUTAG,0,NMI,43.727535778964274,44.974080476018074,-1.2465446970537997,0,0
w/o RDTG,MUTAG,1,NMI,42.47874353086153,46.28582349891941,-3.8070799680578844,0,0
w/o RDTG,MUTAG,2,NMI,44.06907809644749,42.23660980906712,1.8324682873803724,1,0
w/o RDTG,MUTAG,0,ARI,50.36863968306892,54.4729696120585,-4.1043299289895785,0,0
w/o RDTG,MUTAG,1,ARI,50.01086103717009,54.45736589559609,-4.446504858426003,0,0
w/o RDTG,MUTAG,2,ARI,51.44317239986536,48.78150128476085,2.661671115104511,1,0
w/o RDTG,MUTAG,0,Macro-F1,84.26959884351322,85.69969937654143,-1.4301005330282095,0,0
w/o RDTG,MUTAG,1,Macro-F1,83.96868313409139,85.26613127198608,-1.2974481378946905,0,0
w/o RDTG,MUTAG,2,Macro-F1,84.53261267815162,83.55843334832889,0.9741793298227321,1,0
w/o RDTG,PTC_MR,0,ACC,58.134453781512605,59.596638655462186,-1.4621848739495817,0,0
w/o RDTG,PTC_MR,1,ACC,59.890756302521005,57.5546218487395,2.3361344537815043,1,0
w/o RDTG,PTC_MR,2,ACC,56.10084033613445,56.109243697478995,-0.008403361344541338,0,0
w/o RDTG,PTC_MR,0,NMI,1.942877396633276,2.8852130114452557,-0.9423356148119797,0,0
w/o RDTG,PTC_MR,1,NMI,2.6068959010750636,1.7772678867388847,0.8296280143361789,1,0
