configuration,dataset,seed,status,use_acvg,use_rdtg,use_ltcp,ACC,NMI,ARI,Macro-F1,split_sha256,failed_attempts,duration_seconds,result_path
Full,PTC_MR,0,completed,1,1,1,58.134453781512605,1.942877396633276,1.7948295111347128,56.711828123889156,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,14.010719227138907,/home/Lim/Project-xmlg/output/ablation/jobs/Full__PTC_MR__seed0.json
Full,PTC_MR,1,completed,1,1,1,59.890756302521005,2.6068959010750636,2.6882792921854723,58.9328316975609,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,13.403633308131248,/home/Lim/Project-xmlg/output/ablation/jobs/Full__PTC_MR__seed1.json
Full,PTC_MR,2,completed,1,1,1,56.10084033613445,1.9518890544880036,1.772809184264959,54.79053051529006,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,12.452217244077474,/home/Lim/Project-xmlg/output/ablation/jobs/Full__PTC_MR__seed2.json
Full,PTC_MR,3,pending,1,1,1,,,,,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,,/home/Lim/Project-xmlg/output/ablation/jobs/Full__PTC_MR__seed3.json
Full,PTC_MR,4,pending,1,1,1,,,,,00a16c4486514f1d2c7bf19b3238b64e2421dc70d9baccfc646995642118cf5c,0,,/home/Lim/Project-xmlg/output/ablation/jobs/Full__PTC_MR__seed4.json
w/o ACVG,NCI1,0,completed,0,1,1,74.96306008656005,19.069692426054615,24.90782723693794,74.93096262804822,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,145.28440963290632,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__NCI1__seed0.json
w/o ACVG,NCI1,1,completed,0,1,1,75.08507014401968,19.313554886036005,25.17083555155644,75.04804886368957,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,111.97135645290837,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__NCI1__seed1.json
w/o ACVG,NCI1,2,completed,0,1,1,75.64497727851929,20.08631311009608,26.265852407246392,75.62254232761009,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,112.43965249904431,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__NCI1__seed2.json
w/o ACVG,NCI1,3,pending,0,1,1,,,,,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__NCI1__seed3.json
w/o ACVG,NCI1,4,pending,0,1,1,,,,,732066f12d1096a6ec16ed075f0f4a3c34e95443373dabf5da22c785d7897efe,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__NCI1__seed4.json
w/o ACVG,Mutagenicity,0,completed,0,1,1,76.9181190380437,21.795014420428288,28.997817454547715,76.6030385169662,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,150.16396352718584,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__Mutagenicity__seed0.json
w/o ACVG,Mutagenicity,1,completed,0,1,1,77.26413979928937,22.329747303320154,29.722592728241864,76.90125512636448,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,108.48362453188747,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__Mutagenicity__seed1.json
w/o ACVG,Mutagenicity,2,completed,0,1,1,77.67947089483596,23.025242316187946,30.620209017212222,77.31653032009919,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,116.02129044686444,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__Mutagenicity__seed2.json
w/o ACVG,Mutagenicity,3,pending,0,1,1,,,,,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__Mutagenicity__seed3.json
w/o ACVG,Mutagenicity,4,pending,0,1,1,,,,,50de8558a04013f9a521e9ba8c01ade39498acaffab1cc78aa1f0f182b3f54a9,0,,/home/Lim/Project-xmlg/output/ablation/jobs/without_ACVG__Mutagenicity__seed4.json
